65 epoch, LR 0.000142, LOSS 1.425732, ACC 73.02%, EER 1.13%, bestEER 1.13%
66 epoch, LR 0.000138, LOSS 1.413703, ACC 73.19%, EER 1.07%, bestEER 1.07%
67 epoch, LR 0.000134, LOSS 1.404295, ACC 73.42%, EER 1.07%, bestEER 1.07%
68 epoch, LR 0.000130, LOSS 1.392355, ACC 73.61%, EER 1.13%, bestEER 1.07%
69 epoch, LR 0.000126, LOSS 1.381986, ACC 73.74%, EER 1.22%, bestEER 1.07%
70 epoch, LR 0.000122, LOSS 1.369323, ACC 74.01%, EER 1.15%, bestEER 1.07%
71 epoch, LR 0.000119, LOSS 1.359996, ACC 74.20%, EER 1.09%, bestEER 1.07%
72 epoch, LR 0.000115, LOSS 1.345933, ACC 74.39%, EER 1.01%, bestEER 1.01%
73 epoch, LR 0.000112, LOSS 1.339048, ACC 74.57%, EER 1.11%, bestEER 1.01%
74 epoch, LR 0.000108, LOSS 1.327474, ACC 74.74%, EER 1.14%, bestEER 1.01%
75 epoch, LR 0.000105, LOSS 1.321923, ACC 74.86%, EER 1.10%, bestEER 1.01%
76 epoch, LR 0.000102, LOSS 1.313488, ACC 75.00%, EER 1.18%, bestEER 1.01%
77 epoch, LR 0.000099, LOSS 1.301529, ACC 75.24%, EER 1.15%, bestEER 1.01%
78 epoch, LR 0.000096, LOSS 1.293288, ACC 75.37%, EER 1.13%, bestEER 1.01%
79 epoch, LR 0.000093, LOSS 1.281805, ACC 75.60%, EER 1.18%, bestEER 1.01%
80 epoch, LR 0.000090, LOSS 1.275211, ACC 75.73%, EER 1.18%, bestEER 1.01%
