1 epoch, LR 0.001000, LOSS 9.443257, ACC 3.71%, EER 5.98%, bestEER 5.98%
2 epoch, LR 0.000970, LOSS 5.805026, ACC 15.73%, EER 3.54%, bestEER 3.54%
3 epoch, LR 0.000941, LOSS 4.819389, ACC 24.07%, EER 3.23%, bestEER 3.23%
4 epoch, LR 0.000913, LOSS 4.266337, ACC 30.13%, EER 2.71%, bestEER 2.71%
5 epoch, LR 0.000885, LOSS 3.907048, ACC 34.44%, EER 2.36%, bestEER 2.36%
6 epoch, LR 0.000859, LOSS 3.645973, ACC 37.93%, EER 2.38%, bestEER 2.36%
7 epoch, LR 0.000833, LOSS 3.440386, ACC 40.79%, EER 2.13%, bestEER 2.13%
8 epoch, LR 0.000808, LOSS 3.271849, ACC 43.26%, EER 2.12%, bestEER 2.12%
9 epoch, LR 0.000784, LOSS 3.135075, ACC 45.28%, EER 1.93%, bestEER 1.93%
10 epoch, LR 0.000760, LOSS 3.020495, ACC 47.07%, EER 1.84%, bestEER 1.84%
11 epoch, LR 0.000737, LOSS 2.918623, ACC 48.69%, EER 1.91%, bestEER 1.84%
12 epoch, LR 0.000715, LOSS 2.830403, ACC 50.01%, EER 1.68%, bestEER 1.68%
13 epoch, LR 0.000694, LOSS 2.750951, ACC 51.35%, EER 1.70%, bestEER 1.68%
14 epoch, LR 0.000673, LOSS 2.681663, ACC 52.42%, EER 1.71%, bestEER 1.68%
15 epoch, LR 0.000653, LOSS 2.616019, ACC 53.43%, EER 1.68%, bestEER 1.68%
16 epoch, LR 0.000633, LOSS 2.557793, ACC 54.44%, EER 1.65%, bestEER 1.65%
17 epoch, LR 0.000614, LOSS 2.499680, ACC 55.41%, EER 1.55%, bestEER 1.55%
18 epoch, LR 0.000596, LOSS 2.450794, ACC 56.28%, EER 1.52%, bestEER 1.52%
19 epoch, LR 0.000578, LOSS 2.402188, ACC 56.97%, EER 1.48%, bestEER 1.48%
20 epoch, LR 0.000561, LOSS 2.356716, ACC 57.82%, EER 1.55%, bestEER 1.48%
21 epoch, LR 0.000544, LOSS 2.316521, ACC 58.46%, EER 1.43%, bestEER 1.43%
22 epoch, LR 0.000527, LOSS 2.272248, ACC 59.18%, EER 1.48%, bestEER 1.43%
23 epoch, LR 0.000512, LOSS 2.236872, ACC 59.82%, EER 1.52%, bestEER 1.43%
24 epoch, LR 0.000496, LOSS 2.198175, ACC 60.46%, EER 1.46%, bestEER 1.43%
25 epoch, LR 0.000481, LOSS 2.164555, ACC 61.07%, EER 1.41%, bestEER 1.41%
26 epoch, LR 0.000467, LOSS 2.129517, ACC 61.55%, EER 1.40%, bestEER 1.40%
27 epoch, LR 0.000453, LOSS 2.103290, ACC 62.08%, EER 1.49%, bestEER 1.40%
28 epoch, LR 0.000439, LOSS 2.072952, ACC 62.52%, EER 1.31%, bestEER 1.31%
29 epoch, LR 0.000426, LOSS 2.040463, ACC 63.07%, EER 1.40%, bestEER 1.31%
30 epoch, LR 0.000413, LOSS 2.015394, ACC 63.46%, EER 1.40%, bestEER 1.31%
31 epoch, LR 0.000401, LOSS 1.988716, ACC 63.93%, EER 1.34%, bestEER 1.31%
32 epoch, LR 0.000389, LOSS 1.960009, ACC 64.34%, EER 1.27%, bestEER 1.27%
33 epoch, LR 0.000377, LOSS 1.937052, ACC 64.70%, EER 1.30%, bestEER 1.27%
34 epoch, LR 0.000366, LOSS 1.915975, ACC 65.08%, EER 1.29%, bestEER 1.27%
35 epoch, LR 0.000355, LOSS 1.892990, ACC 65.41%, EER 1.33%, bestEER 1.27%
36 epoch, LR 0.000344, LOSS 1.870267, ACC 65.85%, EER 1.22%, bestEER 1.22%
37 epoch, LR 0.000334, LOSS 1.848493, ACC 66.17%, EER 1.23%, bestEER 1.22%
38 epoch, LR 0.000324, LOSS 1.826656, ACC 66.49%, EER 1.41%, bestEER 1.22%
39 epoch, LR 0.000314, LOSS 1.806687, ACC 66.81%, EER 1.30%, bestEER 1.22%
40 epoch, LR 0.000305, LOSS 1.789997, ACC 67.07%, EER 1.24%, bestEER 1.22%
41 epoch, LR 0.000296, LOSS 1.770922, ACC 67.44%, EER 1.30%, bestEER 1.22%
42 epoch, LR 0.000287, LOSS 1.751473, ACC 67.74%, EER 1.18%, bestEER 1.18%
43 epoch, LR 0.000278, LOSS 1.734848, ACC 68.01%, EER 1.22%, bestEER 1.18%
44 epoch, LR 0.000270, LOSS 1.714094, ACC 68.36%, EER 1.11%, bestEER 1.11%
45 epoch, LR 0.000262, LOSS 1.696694, ACC 68.58%, EER 1.19%, bestEER 1.11%
46 epoch, LR 0.000254, LOSS 1.680521, ACC 68.83%, EER 1.16%, bestEER 1.11%
47 epoch, LR 0.000246, LOSS 1.665539, ACC 69.05%, EER 1.16%, bestEER 1.11%
48 epoch, LR 0.000239, LOSS 1.648876, ACC 69.35%, EER 1.16%, bestEER 1.11%
