1 epoch, LR 0.001000, LOSS 9.393532, ACC 3.94%, EER 6.01%, bestEER 6.01%
2 epoch, LR 0.000970, LOSS 5.746859, ACC 16.61%, EER 4.01%, bestEER 4.01%
3 epoch, LR 0.000941, LOSS 4.802611, ACC 24.84%, EER 3.27%, bestEER 3.27%
4 epoch, LR 0.000913, LOSS 4.277914, ACC 30.70%, EER 2.89%, bestEER 2.89%
5 epoch, LR 0.000885, LOSS 3.924659, ACC 35.15%, EER 2.56%, bestEER 2.56%
6 epoch, LR 0.000859, LOSS 3.675899, ACC 38.45%, EER 2.43%, bestEER 2.43%
7 epoch, LR 0.000833, LOSS 3.478002, ACC 41.17%, EER 2.21%, bestEER 2.21%
8 epoch, LR 0.000808, LOSS 3.334187, ACC 43.24%, EER 2.12%, bestEER 2.12%
9 epoch, LR 0.000784, LOSS 3.191422, ACC 45.40%, EER 2.11%, bestEER 2.11%
10 epoch, LR 0.000760, LOSS 3.069693, ACC 47.14%, EER 2.06%, bestEER 2.06%
11 epoch, LR 0.000737, LOSS 2.973619, ACC 48.66%, EER 1.90%, bestEER 1.90%
12 epoch, LR 0.000715, LOSS 2.884470, ACC 50.01%, EER 1.88%, bestEER 1.88%
13 epoch, LR 0.000694, LOSS 2.817828, ACC 51.09%, EER 1.84%, bestEER 1.84%
14 epoch, LR 0.000673, LOSS 2.740462, ACC 52.30%, EER 1.87%, bestEER 1.84%
15 epoch, LR 0.000653, LOSS 2.686264, ACC 53.12%, EER 1.86%, bestEER 1.84%
16 epoch, LR 0.000633, LOSS 2.627951, ACC 54.06%, EER 1.67%, bestEER 1.67%
17 epoch, LR 0.000614, LOSS 2.574161, ACC 54.90%, EER 1.71%, bestEER 1.67%
18 epoch, LR 0.000596, LOSS 2.528538, ACC 55.65%, EER 1.58%, bestEER 1.58%
19 epoch, LR 0.000578, LOSS 2.484847, ACC 56.26%, EER 1.69%, bestEER 1.58%
20 epoch, LR 0.000561, LOSS 2.444605, ACC 56.99%, EER 1.65%, bestEER 1.58%
21 epoch, LR 0.000544, LOSS 2.409560, ACC 57.51%, EER 1.62%, bestEER 1.58%
22 epoch, LR 0.000527, LOSS 2.368770, ACC 58.08%, EER 1.66%, bestEER 1.58%
23 epoch, LR 0.000512, LOSS 2.329501, ACC 58.78%, EER 1.57%, bestEER 1.57%
24 epoch, LR 0.000496, LOSS 2.293505, ACC 59.29%, EER 1.62%, bestEER 1.57%
25 epoch, LR 0.000481, LOSS 2.260193, ACC 59.88%, EER 1.52%, bestEER 1.52%
26 epoch, LR 0.000467, LOSS 2.228721, ACC 60.32%, EER 1.51%, bestEER 1.51%
27 epoch, LR 0.000453, LOSS 2.199382, ACC 60.77%, EER 1.52%, bestEER 1.51%
28 epoch, LR 0.000439, LOSS 2.169736, ACC 61.27%, EER 1.39%, bestEER 1.39%
29 epoch, LR 0.000426, LOSS 2.147944, ACC 61.64%, EER 1.33%, bestEER 1.33%
30 epoch, LR 0.000413, LOSS 2.127118, ACC 61.92%, EER 1.45%, bestEER 1.33%
31 epoch, LR 0.000401, LOSS 2.102302, ACC 62.27%, EER 1.48%, bestEER 1.33%
32 epoch, LR 0.000389, LOSS 2.076946, ACC 62.71%, EER 1.47%, bestEER 1.33%
33 epoch, LR 0.000377, LOSS 2.052583, ACC 63.07%, EER 1.43%, bestEER 1.33%
34 epoch, LR 0.000366, LOSS 2.027886, ACC 63.46%, EER 1.42%, bestEER 1.33%
