63 epoch, LR 0.000151, LOSS 1.561247, ACC 70.85%, EER 1.12%, bestEER 1.03%
64 epoch, LR 0.000147, LOSS 1.548436, ACC 71.05%, EER 1.09%, bestEER 1.03%
65 epoch, LR 0.000142, LOSS 1.542318, ACC 71.20%, EER 1.05%, bestEER 1.03%
66 epoch, LR 0.000138, LOSS 1.534369, ACC 71.31%, EER 1.08%, bestEER 1.03%
67 epoch, LR 0.000134, LOSS 1.518138, ACC 71.57%, EER 1.03%, bestEER 1.03%
68 epoch, LR 0.000130, LOSS 1.508337, ACC 71.76%, EER 1.09%, bestEER 1.03%
69 epoch, LR 0.000126, LOSS 1.500468, ACC 71.92%, EER 1.01%, bestEER 1.01%
70 epoch, LR 0.000122, LOSS 1.489731, ACC 72.03%, EER 1.04%, bestEER 1.01%
71 epoch, LR 0.000119, LOSS 1.477715, ACC 72.28%, EER 1.05%, bestEER 1.01%
72 epoch, LR 0.000115, LOSS 1.471283, ACC 72.39%, EER 1.08%, bestEER 1.01%
73 epoch, LR 0.000112, LOSS 1.463165, ACC 72.52%, EER 1.06%, bestEER 1.01%
74 epoch, LR 0.000108, LOSS 1.449973, ACC 72.75%, EER 1.04%, bestEER 1.01%
75 epoch, LR 0.000105, LOSS 1.439524, ACC 72.97%, EER 1.07%, bestEER 1.01%
76 epoch, LR 0.000102, LOSS 1.430999, ACC 73.10%, EER 1.07%, bestEER 1.01%
77 epoch, LR 0.000099, LOSS 1.420407, ACC 73.31%, EER 1.03%, bestEER 1.01%
78 epoch, LR 0.000096, LOSS 1.413238, ACC 73.49%, EER 1.07%, bestEER 1.01%
79 epoch, LR 0.000093, LOSS 1.405861, ACC 73.59%, EER 1.08%, bestEER 1.01%
80 epoch, LR 0.000090, LOSS 1.396854, ACC 73.79%, EER 1.07%, bestEER 1.01%
