1 epoch, LR 0.001000, LOSS 9.396242, ACC 3.66%, EER 5.56%, bestEER 5.56%
2 epoch, LR 0.000970, LOSS 5.820296, ACC 15.18%, EER 3.87%, bestEER 3.87%
3 epoch, LR 0.000941, LOSS 4.886632, ACC 22.92%, EER 3.18%, bestEER 3.18%
4 epoch, LR 0.000913, LOSS 4.359895, ACC 28.51%, EER 2.66%, bestEER 2.66%
5 epoch, LR 0.000885, LOSS 4.009596, ACC 32.69%, EER 2.45%, bestEER 2.45%
6 epoch, LR 0.000859, LOSS 3.755792, ACC 35.91%, EER 2.33%, bestEER 2.33%
7 epoch, LR 0.000833, LOSS 3.556497, ACC 38.55%, EER 2.12%, bestEER 2.12%
8 epoch, LR 0.000808, LOSS 3.396022, ACC 40.86%, EER 2.16%, bestEER 2.12%
9 epoch, LR 0.000784, LOSS 3.264692, ACC 42.79%, EER 2.01%, bestEER 2.01%
10 epoch, LR 0.000760, LOSS 3.153753, ACC 44.43%, EER 1.83%, bestEER 1.83%
11 epoch, LR 0.000737, LOSS 3.056455, ACC 45.89%, EER 1.87%, bestEER 1.83%
12 epoch, LR 0.000715, LOSS 2.968076, ACC 47.24%, EER 1.82%, bestEER 1.82%
13 epoch, LR 0.000694, LOSS 2.893527, ACC 48.36%, EER 1.79%, bestEER 1.79%
14 epoch, LR 0.000673, LOSS 2.827008, ACC 49.42%, EER 1.67%, bestEER 1.67%
15 epoch, LR 0.000653, LOSS 2.766846, ACC 50.36%, EER 1.72%, bestEER 1.67%
16 epoch, LR 0.000633, LOSS 2.707782, ACC 51.29%, EER 1.79%, bestEER 1.67%
17 epoch, LR 0.000614, LOSS 2.652846, ACC 52.23%, EER 1.62%, bestEER 1.62%
18 epoch, LR 0.000596, LOSS 2.601855, ACC 53.06%, EER 1.56%, bestEER 1.56%
19 epoch, LR 0.000578, LOSS 2.559125, ACC 53.72%, EER 1.55%, bestEER 1.55%
20 epoch, LR 0.000561, LOSS 2.515613, ACC 54.44%, EER 1.47%, bestEER 1.47%
21 epoch, LR 0.000544, LOSS 2.475051, ACC 55.13%, EER 1.59%, bestEER 1.47%
22 epoch, LR 0.000527, LOSS 2.437663, ACC 55.73%, EER 1.44%, bestEER 1.44%
23 epoch, LR 0.000512, LOSS 2.401768, ACC 56.32%, EER 1.42%, bestEER 1.42%
24 epoch, LR 0.000496, LOSS 2.367065, ACC 56.90%, EER 1.41%, bestEER 1.41%
25 epoch, LR 0.000481, LOSS 2.330948, ACC 57.46%, EER 1.39%, bestEER 1.39%
26 epoch, LR 0.000467, LOSS 2.301306, ACC 57.96%, EER 1.44%, bestEER 1.39%
27 epoch, LR 0.000453, LOSS 2.272566, ACC 58.47%, EER 1.40%, bestEER 1.39%
28 epoch, LR 0.000439, LOSS 2.241099, ACC 58.99%, EER 1.46%, bestEER 1.39%
29 epoch, LR 0.000426, LOSS 2.212354, ACC 59.44%, EER 1.49%, bestEER 1.39%
30 epoch, LR 0.000413, LOSS 2.185036, ACC 59.84%, EER 1.27%, bestEER 1.27%
31 epoch, LR 0.000401, LOSS 2.157900, ACC 60.37%, EER 1.36%, bestEER 1.27%
32 epoch, LR 0.000389, LOSS 2.135396, ACC 60.75%, EER 1.39%, bestEER 1.27%
33 epoch, LR 0.000377, LOSS 2.109974, ACC 61.12%, EER 1.37%, bestEER 1.27%
34 epoch, LR 0.000366, LOSS 2.090503, ACC 61.53%, EER 1.34%, bestEER 1.27%
35 epoch, LR 0.000355, LOSS 2.062193, ACC 62.01%, EER 1.37%, bestEER 1.27%
36 epoch, LR 0.000344, LOSS 2.040688, ACC 62.34%, EER 1.33%, bestEER 1.27%
37 epoch, LR 0.000334, LOSS 2.019936, ACC 62.72%, EER 1.38%, bestEER 1.27%
38 epoch, LR 0.000324, LOSS 1.998338, ACC 63.08%, EER 1.25%, bestEER 1.25%
39 epoch, LR 0.000314, LOSS 1.979737, ACC 63.42%, EER 1.23%, bestEER 1.23%
40 epoch, LR 0.000305, LOSS 1.957672, ACC 63.75%, EER 1.35%, bestEER 1.23%
41 epoch, LR 0.000296, LOSS 1.935904, ACC 64.08%, EER 1.32%, bestEER 1.23%
42 epoch, LR 0.000287, LOSS 1.922849, ACC 64.31%, EER 1.26%, bestEER 1.23%
43 epoch, LR 0.000278, LOSS 1.901539, ACC 64.73%, EER 1.24%, bestEER 1.23%
44 epoch, LR 0.000270, LOSS 1.883755, ACC 65.02%, EER 1.29%, bestEER 1.23%
45 epoch, LR 0.000262, LOSS 1.867316, ACC 65.31%, EER 1.28%, bestEER 1.23%
46 epoch, LR 0.000254, LOSS 1.852343, ACC 65.58%, EER 1.27%, bestEER 1.23%
47 epoch, LR 0.000246, LOSS 1.831420, ACC 65.90%, EER 1.22%, bestEER 1.22%
48 epoch, LR 0.000239, LOSS 1.817978, ACC 66.14%, EER 1.28%, bestEER 1.22%
49 epoch, LR 0.000232, LOSS 1.800656, ACC 66.43%, EER 1.33%, bestEER 1.22%
50 epoch, LR 0.000225, LOSS 1.784660, ACC 66.70%, EER 1.17%, bestEER 1.17%
51 epoch, LR 0.000218, LOSS 1.770694, ACC 66.97%, EER 1.35%, bestEER 1.17%
52 epoch, LR 0.000212, LOSS 1.753452, ACC 67.22%, EER 1.30%, bestEER 1.17%
53 epoch, LR 0.000205, LOSS 1.743668, ACC 67.43%, EER 1.20%, bestEER 1.17%
54 epoch, LR 0.000199, LOSS 1.727351, ACC 67.67%, EER 1.25%, bestEER 1.17%
55 epoch, LR 0.000193, LOSS 1.715876, ACC 67.91%, EER 1.24%, bestEER 1.17%
