1 epoch, LR 0.001000, LOSS 9.475734, ACC 3.46%, EER 5.80%, bestEER 5.80%
2 epoch, LR 0.000970, LOSS 5.867765, ACC 14.82%, EER 3.84%, bestEER 3.84%
3 epoch, LR 0.000941, LOSS 4.923164, ACC 22.51%, EER 3.16%, bestEER 3.16%
4 epoch, LR 0.000913, LOSS 4.397239, ACC 27.91%, EER 2.88%, bestEER 2.88%
5 epoch, LR 0.000885, LOSS 4.046142, ACC 32.13%, EER 2.52%, bestEER 2.52%
6 epoch, LR 0.000859, LOSS 3.781108, ACC 35.47%, EER 2.47%, bestEER 2.47%
7 epoch, LR 0.000833, LOSS 3.579006, ACC 38.17%, EER 2.23%, bestEER 2.23%
8 epoch, LR 0.000808, LOSS 3.412293, ACC 40.48%, EER 2.08%, bestEER 2.08%
9 epoch, LR 0.000784, LOSS 3.269058, ACC 42.52%, EER 2.02%, bestEER 2.02%
10 epoch, LR 0.000760, LOSS 3.152237, ACC 44.29%, EER 2.03%, bestEER 2.02%
11 epoch, LR 0.000737, LOSS 3.054730, ACC 45.78%, EER 1.98%, bestEER 1.98%
12 epoch, LR 0.000715, LOSS 2.964260, ACC 47.18%, EER 1.75%, bestEER 1.75%
13 epoch, LR 0.000694, LOSS 2.887128, ACC 48.38%, EER 2.01%, bestEER 1.75%
14 epoch, LR 0.000673, LOSS 2.814264, ACC 49.45%, EER 1.90%, bestEER 1.75%
15 epoch, LR 0.000653, LOSS 2.753162, ACC 50.47%, EER 1.67%, bestEER 1.67%
16 epoch, LR 0.000633, LOSS 2.693693, ACC 51.40%, EER 1.59%, bestEER 1.59%
17 epoch, LR 0.000614, LOSS 2.640551, ACC 52.30%, EER 1.68%, bestEER 1.59%
18 epoch, LR 0.000596, LOSS 2.587621, ACC 53.09%, EER 1.56%, bestEER 1.56%
19 epoch, LR 0.000578, LOSS 2.545235, ACC 53.86%, EER 1.47%, bestEER 1.47%
20 epoch, LR 0.000561, LOSS 2.503180, ACC 54.53%, EER 1.49%, bestEER 1.47%
21 epoch, LR 0.000544, LOSS 2.456250, ACC 55.23%, EER 1.45%, bestEER 1.45%
22 epoch, LR 0.000527, LOSS 2.418084, ACC 55.89%, EER 1.43%, bestEER 1.43%
23 epoch, LR 0.000512, LOSS 2.381998, ACC 56.53%, EER 1.42%, bestEER 1.42%
24 epoch, LR 0.000496, LOSS 2.347357, ACC 57.10%, EER 1.38%, bestEER 1.38%
25 epoch, LR 0.000481, LOSS 2.313208, ACC 57.61%, EER 1.35%, bestEER 1.35%
26 epoch, LR 0.000467, LOSS 2.280243, ACC 58.20%, EER 1.41%, bestEER 1.35%
27 epoch, LR 0.000453, LOSS 2.247571, ACC 58.76%, EER 1.38%, bestEER 1.35%
28 epoch, LR 0.000439, LOSS 2.221025, ACC 59.18%, EER 1.45%, bestEER 1.35%
29 epoch, LR 0.000426, LOSS 2.192526, ACC 59.65%, EER 1.40%, bestEER 1.35%
30 epoch, LR 0.000413, LOSS 2.163164, ACC 60.19%, EER 1.32%, bestEER 1.32%
31 epoch, LR 0.000401, LOSS 2.135780, ACC 60.65%, EER 1.36%, bestEER 1.32%
32 epoch, LR 0.000389, LOSS 2.105853, ACC 61.16%, EER 1.34%, bestEER 1.32%
33 epoch, LR 0.000377, LOSS 2.083447, ACC 61.53%, EER 1.29%, bestEER 1.29%
34 epoch, LR 0.000366, LOSS 2.058063, ACC 61.97%, EER 1.28%, bestEER 1.28%
35 epoch, LR 0.000355, LOSS 2.033690, ACC 62.37%, EER 1.33%, bestEER 1.28%
36 epoch, LR 0.000344, LOSS 2.011740, ACC 62.76%, EER 1.29%, bestEER 1.28%
37 epoch, LR 0.000334, LOSS 1.989382, ACC 63.17%, EER 1.26%, bestEER 1.26%
38 epoch, LR 0.000324, LOSS 1.969758, ACC 63.50%, EER 1.40%, bestEER 1.26%
39 epoch, LR 0.000314, LOSS 1.946590, ACC 63.84%, EER 1.20%, bestEER 1.20%
40 epoch, LR 0.000305, LOSS 1.927855, ACC 64.21%, EER 1.21%, bestEER 1.20%
41 epoch, LR 0.000296, LOSS 1.909632, ACC 64.58%, EER 1.21%, bestEER 1.20%
42 epoch, LR 0.000287, LOSS 1.883640, ACC 65.03%, EER 1.16%, bestEER 1.16%
43 epoch, LR 0.000278, LOSS 1.867740, ACC 65.29%, EER 1.22%, bestEER 1.16%
44 epoch, LR 0.000270, LOSS 1.850300, ACC 65.48%, EER 1.16%, bestEER 1.16%
45 epoch, LR 0.000262, LOSS 1.834787, ACC 65.84%, EER 1.31%, bestEER 1.16%
46 epoch, LR 0.000254, LOSS 1.818381, ACC 66.11%, EER 1.26%, bestEER 1.16%
47 epoch, LR 0.000246, LOSS 1.797019, ACC 66.47%, EER 1.21%, bestEER 1.16%
48 epoch, LR 0.000239, LOSS 1.783960, ACC 66.75%, EER 1.14%, bestEER 1.14%
49 epoch, LR 0.000232, LOSS 1.763857, ACC 67.06%, EER 1.19%, bestEER 1.14%
50 epoch, LR 0.000225, LOSS 1.748850, ACC 67.30%, EER 1.23%, bestEER 1.14%
51 epoch, LR 0.000218, LOSS 1.732635, ACC 67.61%, EER 1.18%, bestEER 1.14%
52 epoch, LR 0.000212, LOSS 1.717771, ACC 67.86%, EER 1.19%, bestEER 1.14%
53 epoch, LR 0.000205, LOSS 1.702936, ACC 68.13%, EER 1.20%, bestEER 1.14%
54 epoch, LR 0.000199, LOSS 1.687346, ACC 68.35%, EER 1.18%, bestEER 1.14%
55 epoch, LR 0.000193, LOSS 1.673973, ACC 68.61%, EER 1.18%, bestEER 1.14%
56 epoch, LR 0.000187, LOSS 1.657200, ACC 68.94%, EER 1.17%, bestEER 1.14%
57 epoch, LR 0.000182, LOSS 1.645298, ACC 69.12%, EER 1.16%, bestEER 1.14%
58 epoch, LR 0.000176, LOSS 1.630168, ACC 69.44%, EER 1.22%, bestEER 1.14%
59 epoch, LR 0.000171, LOSS 1.618449, ACC 69.64%, EER 1.19%, bestEER 1.14%
60 epoch, LR 0.000166, LOSS 1.604738, ACC 69.88%, EER 1.20%, bestEER 1.14%
61 epoch, LR 0.000161, LOSS 1.592656, ACC 70.09%, EER 1.21%, bestEER 1.14%
62 epoch, LR 0.000156, LOSS 1.582629, ACC 70.28%, EER 1.23%, bestEER 1.14%
63 epoch, LR 0.000151, LOSS 1.569725, ACC 70.47%, EER 1.17%, bestEER 1.14%
64 epoch, LR 0.000147, LOSS 1.554895, ACC 70.73%, EER 1.16%, bestEER 1.14%
65 epoch, LR 0.000142, LOSS 1.548253, ACC 70.85%, EER 1.24%, bestEER 1.14%
66 epoch, LR 0.000138, LOSS 1.535061, ACC 71.11%, EER 1.13%, bestEER 1.13%
67 epoch, LR 0.000134, LOSS 1.522958, ACC 71.35%, EER 1.17%, bestEER 1.13%
68 epoch, LR 0.000130, LOSS 1.509505, ACC 71.50%, EER 1.06%, bestEER 1.06%
69 epoch, LR 0.000126, LOSS 1.501093, ACC 71.73%, EER 1.16%, bestEER 1.06%
70 epoch, LR 0.000122, LOSS 1.492776, ACC 71.91%, EER 1.19%, bestEER 1.06%
71 epoch, LR 0.000119, LOSS 1.478897, ACC 72.12%, EER 1.10%, bestEER 1.06%
